Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"03551709", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551715", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551716", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551709A", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551710", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551711", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551712", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551714", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551713", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"035517A", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551801", 12, 1,    6928.58,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551802", 12, 2,    6928.61, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"035519", 12, 1,    6928.58,    0.0,    1.0001, 2,    6928.61, -120.0,    1.0001, 3,    6928.52,  120.0,         1
"03551803", 12, 2,    6928.61, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"035520", 12, 1,    6928.58,    0.0,    1.0001, 2,    6928.62, -120.0,    1.0001, 3,    6928.52,  120.0,         1
"035521", 12, 1,    6928.59,    0.0,    1.0001, 2,    6928.63, -120.0,    1.0001, 3,    6928.53,  120.0,         1
